hustobc_class,source_group,identity_official_code,identity_official_reading_jtz,identity_official_status,top1_official_code,top1_similarity,top1_official_reading_jtz,top1_official_status,top1_has_jitilin_entry,is_verified_correction
L/2975,L,,,,U60988,0.6196,,undeciphered,true,false
L/2976,L,,,,U61A8C,0.6131,呈,deciphered,true,false
L/2977,L,,,,U601EC,0.642,,undeciphered,true,false
L/2978,L,,,,U6153D,0.6575,妣戊,deciphered,true,false
L/2979,L,,,,U61450,0.6967,,undeciphered,false,false
L/298,L,,,,U607D2,0.7098,,undeciphered,true,false
L/2980,L,,,,U613B4,0.6494,责,deciphered,true,false
L/2981,L,,,,U604AC,0.6492,,undeciphered,false,false
L/2982,L,,,,U60659,0.6539,,undeciphered,false,false
L/2983,L,,,,U60294,0.6161,,undeciphered,true,false
L/2984,L,,,,U61A8C,0.6257,呈,deciphered,true,false
L/2985,L,,,,U60C99,0.7524,司,deciphered,true,false
L/2986,L,,,,U61016,0.6343,,undeciphered,false,false
L/2987,L,,,,U60F71,0.6713,酉,deciphered,true,false
L/2988,L,,,,U61505,0.6275,內乙,deciphered,true,false
L/2989,L,,,,U61936,0.6054,昜,deciphered,true,false
L/299,L,,,,U60126,0.7051,异,deciphered,true,false
L/2990,L,,,,U605EA,0.6497,名,deciphered,true,false
L/2991,L,,,,U6096F,0.6383,,undeciphered,true,false
L/2992,L,,,,U60B50,0.6516,六妣,deciphered,false,false
L/2993,L,,,,U612BD,0.6407,辭,deciphered,false,false
L/2994,L,,,,U60650,0.6434,,undeciphered,false,false
L/2995,L,,,,U61009,0.6877,登,deciphered,true,false
L/2996,L,,,,U60A5F,0.8032,,undeciphered,false,false
L/2997,L,,,,U6196B,0.7379,日,deciphered,true,false
L/2998,L,,,,U60235,0.6216,,undeciphered,false,false
L/2999,L,,,,U61035,0.5938,,undeciphered,false,false
L/3,L,,,,U60D37,0.6019,通,deciphered,true,false
L/30,L,,,,U605BA,0.6695,帝,deciphered,true,false
L/300,L,,,,U610EA,0.7547,,undeciphered,true,false
L/3000,L,,,,U60D59,0.7778,,undeciphered,true,false
L/3001,L,,,,U60B9B,0.6405,,undeciphered,false,false
L/3002,L,,,,U61A8F,0.6879,䵼,deciphered,true,false
L/3003,L,,,,U60548,0.5831,,undeciphered,true,false
L/3004,L,,,,U601EC,0.696,,undeciphered,true,false
L/3005,L,,,,U60506,0.6937,,undeciphered,true,false
L/3006,L,,,,U6135F,0.7278,,undeciphered,true,false
L/3007,L,,,,U60C2A,0.7292,,undeciphered,false,false
L/3008,L,,,,U60506,0.6816,,undeciphered,true,false
L/3009,L,,,,U618A8,0.7289,競,deciphered,false,false
L/301,L,,,,U60D79,0.6512,,undeciphered,false,false
L/3010,L,,,,U60D21,0.5846,疑,deciphered,unknown-if-fetch-failed,false
L/3011,L,,,,U60548,0.5878,,undeciphered,true,false
L/3012,L,,,,U60235,0.6162,,undeciphered,false,false
L/3013,L,,,,U61225,0.6408,,undeciphered,false,false
L/3014,L,,,,U61095,0.6748,豰,deciphered,true,false
L/3015,L,,,,U600FD,0.6639,,undeciphered,true,false
L/3016,L,,,,U612E4,0.6647,,undeciphered,false,false
L/3017,L,,,,U6050B,0.6855,,undeciphered,false,false
L/3018,L,,,,U6198D,0.615,,undeciphered,true,false
L/3019,L,,,,U60FFB,0.6784,登,deciphered,false,false
L/302,L,,,,U603D0,0.6353,,undeciphered,false,false
L/3020,L,,,,U60916,0.6719,,undeciphered,true,false
L/3021,L,,,,U60103,0.7116,汏,deciphered,true,false
L/3022,L,,,,U60A9C,0.6428,惄,deciphered,true,false
L/3023,L,,,,U61419,0.7491,,undeciphered,true,false
L/3024,L,,,,U60931,0.6344,,undeciphered,false,false
L/3025,L,,,,U61095,0.6698,豰,deciphered,true,false
L/3026,L,,,,U612E4,0.6744,,undeciphered,false,false
L/3027,L,,,,U6050B,0.6874,,undeciphered,false,false
L/3028,L,,,,U6198D,0.6228,,undeciphered,true,false
L/3029,L,,,,U60E7D,0.6036,,undeciphered,true,false
L/303,L,,,,U6060F,0.754,残疑字,deciphered,false,false
L/3030,L,,,,U607AB,0.6581,春,deciphered,true,false
L/3031,L,,,,U61221,0.6114,画,deciphered,true,false
L/3032,L,,,,U6060C,0.5849,雪,deciphered,true,false
L/3033,L,,,,U61111,0.6859,,undeciphered,true,false
L/3034,L,,,,U60DD9,0.686,,undeciphered,true,false
L/3035,L,,,,U61260,0.6948,,undeciphered,true,false
L/3036,L,,,,U611A4,0.6066,,undeciphered,true,false
L/3037,L,,,,U6060C,0.5899,雪,deciphered,true,false
L/3038,L,,,,U607F5,0.6062,,undeciphered,true,false
L/3039,L,,,,U60CDC,0.591,行,deciphered,true,false
L/304,L,,,,U619AD,0.6701,,undeciphered,false,false
L/3040,L,,,,U60753,0.7233,丧,deciphered,true,false
L/3041,L,,,,U60A27,0.6942,,undeciphered,false,false
L/3042,L,,,,U61764,0.6255,十鬯,deciphered,false,false
L/3043,L,,,,U618D3,0.5992,奭,deciphered,true,false
L/3044,L,,,,U6102D,0.6176,彭,deciphered,true,false
L/3045,L,,,,U60C35,0.6759,,undeciphered,false,false
L/3046,L,,,,U600D8,0.6979,,undeciphered,true,false
L/3047,L,,,,U60ACB,0.6291,,undeciphered,true,false
L/3048,L,,,,U610D6,0.6378,康,deciphered,false,false
L/3049,L,,,,U61AA1,0.6798,蛛,deciphered,false,false
L/305,L,,,,U61533,0.6982,祖戊,deciphered,true,false
L/3050,L,,,,U600F7,0.6801,,undeciphered,false,false
L/3051,L,,,,U60103,0.7248,汏,deciphered,true,false
L/3052,L,,,,U60103,0.719,汏,deciphered,true,false
L/3053,L,,,,U60E83,0.6473,箙,deciphered,true,false
L/3054,L,,,,U6089F,0.6242,,undeciphered,true,false
L/3055,L,,,,U60FAA,0.6766,酉,deciphered,false,false
L/3056,L,,,,U60775,0.6802,,undeciphered,true,false
L/3057,L,,,,U618A8,0.7259,競,deciphered,false,false
L/3058,L,,,,U60775,0.6802,,undeciphered,true,false
L/3059,L,,,,U603F0,0.6532,,undeciphered,false,false
L/306,L,,,,U61506,0.6779,祖辛,deciphered,true,false
L/3060,L,,,,U600D8,0.6447,,undeciphered,true,false
L/3061,L,,,,U61225,0.64,,undeciphered,false,false
L/3062,L,,,,U6103D,0.6619,盟,deciphered,true,false
L/3063,L,,,,U60916,0.6682,,undeciphered,true,false
L/3064,L,,,,U60931,0.6474,,undeciphered,false,false
L/3065,L,,,,U607AB,0.6454,春,deciphered,true,false
L/3066,L,,,,U61016,0.6388,,undeciphered,false,false
L/3067,L,,,,U617F9,0.7512,米帝,deciphered,false,false
L/3068,L,,,,U613EE,0.7376,十,deciphered,true,false
L/3069,L,,,,U612E4,0.637,,undeciphered,false,false
L/307,L,,,,U60A25,0.6857,,undeciphered,false,false
L/3070,L,,,,U6175B,0.6447,五牢羊,deciphered,false,false
L/3071,L,,,,U617F9,0.7579,米帝,deciphered,false,false
L/3072,L,,,,U6089F,0.6201,,undeciphered,true,false
L/3073,L,,,,U60FAA,0.6854,酉,deciphered,false,false
L/3074,L,,,,U60427,0.6352,台,deciphered,false,false
L/3075,L,,,,U60DC3,0.6922,忒,deciphered,false,false
L/3076,L,,,,U610A2,0.6452,,undeciphered,false,false
L/3077,L,,,,U60CE6,0.5808,防,deciphered,true,false
L/3078,L,,,,U60BCE,0.667,,undeciphered,false,false
L/3079,L,,,,U60916,0.6642,,undeciphered,true,false
L/308,L,,,,U600DB,0.6136,,undeciphered,false,false
L/3080,L,,,,U603BB,0.6268,缶,deciphered,true,false
L/3081,L,,,,U60EA7,0.5919,黃尹,deciphered,true,false
L/3082,L,,,,U60AB7,0.609,庇,deciphered,true,false
L/3083,L,,,,U61637,0.66,鼓,deciphered,false,false
L/3084,L,,,,U60F42,0.6946,,undeciphered,true,false
L/3085,L,,,,U60F42,0.6827,,undeciphered,true,false
L/3086,L,,,,U60F42,0.7099,,undeciphered,true,false
L/3087,L,,,,U60EB3,0.6699,,undeciphered,true,false
L/3088,L,,,,U60798,0.6638,,undeciphered,false,false
L/3089,L,,,,U603F3,0.7292,,undeciphered,false,false
L/309,L,,,,U60659,0.6499,,undeciphered,false,false
L/3090,L,,,,U6190B,0.6343,尞,deciphered,true,false
L/3091,L,,,,U6013B,0.6294,,undeciphered,true,false
L/3092,L,,,,U6013B,0.6331,,undeciphered,true,false
L/3093,L,,,,U60E25,0.7152,,undeciphered,false,false
L/3094,L,,,,U61002,0.6587,登,deciphered,false,false
L/3095,L,,,,U603F3,0.735,,undeciphered,false,false
L/3096,L,,,,U6013B,0.6295,,undeciphered,true,false
L/3097,L,,,,U6019B,0.602,匿,deciphered,true,false
L/3098,L,,,,U6013B,0.6364,,undeciphered,true,false
L/3099,L,,,,U61419,0.68,,undeciphered,true,false
L/31,L,,,,U60B84,0.6921,憲,deciphered,true,false
L/310,L,,,,U60A30,0.5784,蝉,deciphered,false,false
L/3100,L,,,,U60947,0.7186,,undeciphered,true,false
L/3101,L,,,,U61002,0.6614,登,deciphered,false,false
L/3102,L,,,,U603F3,0.7295,,undeciphered,false,false
L/3103,L,,,,U61675,0.6349,梦,deciphered,false,false
L/3104,L,,,,U61305,0.6321,,undeciphered,false,false
L/3105,L,,,,U61AF7,0.6495,,undeciphered,true,false
L/3106,L,,,,U61AF7,0.6535,,undeciphered,true,false
L/3107,L,,,,U608BE,0.6336,暴,deciphered,false,false
L/3108,L,,,,U608BE,0.6277,暴,deciphered,false,false
L/3109,L,,,,U60BC2,0.7094,丙,deciphered,true,false
L/311,L,,,,U61533,0.705,祖戊,deciphered,true,false
L/3110,L,,,,U602DE,0.7593,子1,deciphered,false,false
L/3111,L,,,,U60D8F,0.7032,,undeciphered,true,false
L/3112,L,,,,U601D9,0.7709,,undeciphered,true,false
L/3113,L,,,,U613B4,0.6713,责,deciphered,true,false
L/3114,L,,,,U61222,0.6388,画,deciphered,true,false
L/3115,L,,,,U61B70,0.6833,迺,deciphered,false,false
L/3116,L,,,,U60A5F,0.7927,,undeciphered,false,false
L/3117,L,,,,U6196B,0.7356,日,deciphered,true,false
L/3118,L,,,,U61816,0.6165,,undeciphered,true,false
L/3119,L,,,,U61B70,0.7171,迺,deciphered,false,false
L/312,L,,,,U60424,0.6941,韦,deciphered,true,false
L/3120,L,,,,U60543,0.6463,首,deciphered,true,false
L/3121,L,,,,U6069E,0.6776,,undeciphered,true,false
L/3122,L,,,,U6153D,0.6556,妣戊,deciphered,true,false
L/3123,L,,,,U60530,0.6508,,undeciphered,false,false
L/3124,L,,,,U6056B,0.6365,,undeciphered,true,false
L/3125,L,,,,U605EA,0.6507,名,deciphered,true,false
L/3126,L,,,,U61955,0.6486,,undeciphered,true,false
L/3127,L,,,,U608A7,0.6832,彘,deciphered,false,false
L/3128,L,,,,U6042B,0.6887,台,deciphered,true,false
L/3129,L,,,,U60439,0.7038,往,deciphered,true,false
L/313,L,,,,U60B30,0.7079,宮,deciphered,true,false
L/3130,L,,,,U61A6B,0.7091,庚,deciphered,false,false
L/3131,L,,,,U6130B,0.7249,系,deciphered,false,false
L/3132,L,,,,U60530,0.6542,,undeciphered,false,false
L/3133,L,,,,U60BE6,0.7653,,undeciphered,false,false
L/3134,L,,,,U602AD,0.6415,,undeciphered,true,false
L/3135,L,,,,U611A4,0.6172,,undeciphered,true,false
L/3136,L,,,,U60AB1,0.6787,袁,deciphered,true,false
L/3137,L,,,,U6096F,0.6336,,undeciphered,true,false
L/3138,L,,,,U611A4,0.6274,,undeciphered,true,false
L/3139,L,,,,U612BD,0.6591,辭,deciphered,false,false
L/314,L,,,,U60818,0.6763,香,deciphered,true,false
L/3140,L,,,,U61035,0.6008,,undeciphered,false,false
L/3141,L,,,,U600DB,0.7292,,undeciphered,false,false
L/3142,L,,,,U60506,0.6775,,undeciphered,true,false
L/3143,L,,,,U60BE2,0.7482,,undeciphered,false,false
L/3144,L,,,,U60C14,0.686,,undeciphered,true,false
L/3145,L,,,,U60506,0.6908,,undeciphered,true,false
L/3146,L,,,,U6198D,0.6183,,undeciphered,true,false
L/3147,L,,,,U6103D,0.6575,盟,deciphered,true,false
L/3148,L,,,,U6102D,0.6964,彭,deciphered,true,false
L/3149,L,,,,U60C82,0.6656,冎,deciphered,true,false
L/315,L,,,,U60818,0.6925,香,deciphered,true,false
L/3150,L,,,,U6139B,0.7164,宜,deciphered,true,false
L/3151,L,,,,U6198D,0.6145,,undeciphered,true,false
L/3152,L,,,,U61111,0.687,,undeciphered,true,false
L/3153,L,,,,U6047C,0.6201,,undeciphered,true,false
L/3154,L,,,,U611A4,0.6154,,undeciphered,true,false
L/3155,L,,,,U611A4,0.6204,,undeciphered,true,false
L/3156,L,,,,U6097D,0.6279,,undeciphered,true,false
L/3157,L,,,,U611A4,0.6067,,undeciphered,true,false
L/3158,L,,,,U6060C,0.593,雪,deciphered,true,false
L/3159,L,,,,U60A27,0.6507,,undeciphered,false,false
L/316,L,,,,U60B1C,0.633,㐭,deciphered,true,false
L/3160,L,,,,U60FAA,0.6819,酉,deciphered,false,false
L/3161,L,,,,U60CA1,0.664,匚示,deciphered,true,false
L/3162,L,,,,U6124F,0.6505,羲,deciphered,false,false
L/3163,L,,,,U60DC3,0.6929,忒,deciphered,false,false
L/3164,L,,,,U607AB,0.6422,春,deciphered,true,false
L/3165,L,,,,U60522,0.6513,枚,deciphered,true,false
L/3166,L,,,,U604C2,0.6293,,undeciphered,true,false
L/3167,L,,,,U60282,0.692,,undeciphered,true,false
L/3168,L,,,,U6190B,0.6403,尞,deciphered,true,false
L/3169,L,,,,U60FAA,0.6772,酉,deciphered,false,false
L/317,L,,,,U60125,0.6524,髦,deciphered,true,false
L/3170,L,,,,U606B0,0.5842,,undeciphered,true,false
L/3171,L,,,,U61B48,0.6643,牝,deciphered,true,false
L/3172,L,,,,U60797,0.6449,,undeciphered,false,false
L/3173,L,,,,U6190B,0.6408,尞,deciphered,true,false
L/3174,L,,,,U61C3E,0.6017,残疑字,deciphered,false,false
L/3175,L,,,,U608B8,0.6426,,undeciphered,true,false
L/3176,L,,,,U6078C,0.6431,,undeciphered,true,false
L/3177,L,,,,U614AF,0.6616,未,deciphered,true,false
L/3178,L,,,,U611A3,0.6637,官,deciphered,true,false
L/3179,L,,,,U6058A,0.7276,,undeciphered,true,false
L/318,L,,,,U6060F,0.7562,残疑字,deciphered,false,false
L/3180,L,,,,U6014F,0.6072,髭,deciphered,true,false
L/3181,L,,,,U60837,0.7173,,undeciphered,true,false
L/3182,L,,,,U61B77,0.6171,,undeciphered,false,false
L/3183,L,,,,U601D9,0.7551,,undeciphered,true,false
L/3184,L,,,,U6042C,0.6868,,undeciphered,true,false
L/3185,L,,,,U60CD9,0.7486,亙,deciphered,true,false
L/3186,L,,,,U60DBE,0.693,,undeciphered,true,false
L/3187,L,,,,U60EA1,0.5897,,undeciphered,true,false
L/3188,L,,,,U61539,0.6527,妣乙,deciphered,true,false
L/3189,L,,,,U60629,0.7034,土,deciphered,true,false
L/319,L,,,,U60F32,0.6581,尽,deciphered,true,false
L/3190,L,,,,U60477,0.6539,腹,deciphered,false,false
L/3191,L,,,,U60543,0.6846,首,deciphered,true,false
L/3192,L,,,,U60B15,0.6809,圭,deciphered,true,false
L/3193,L,,,,U605EA,0.6753,名,deciphered,true,false
L/3194,L,,,,U60E7D,0.6039,,undeciphered,true,false
L/3195,L,,,,U611AF,0.6479,,undeciphered,true,false
L/3196,L,,,,U60114,0.7203,髦,deciphered,true,false
L/3197,L,,,,U60B3C,0.6537,,undeciphered,false,false
L/3198,L,,,,U608AA,0.6569,,undeciphered,false,false
L/3199,L,,,,U60B52,0.749,宓,deciphered,true,false
L/32,L,,,,U60A61,0.6703,,undeciphered,false,false
L/320,L,,,,U60F5A,0.6225,,undeciphered,false,false
L/3200,L,,,,U60BC2,0.7155,丙,deciphered,true,false
L/3201,L,,,,U614B0,0.7139,未,deciphered,true,false
L/3202,L,,,,U60B2F,0.6942,向,deciphered,true,false
L/3203,L,,,,U60C82,0.6012,冎,deciphered,true,false
L/3204,L,,,,U60650,0.6467,,undeciphered,false,false
L/3205,L,,,,U60B52,0.6322,宓,deciphered,true,false
L/3206,L,,,,U61845,0.6394,残疑字,deciphered,false,false
L/3207,L,,,,U60D75,0.6278,,undeciphered,true,false
L/3208,L,,,,U606EF,0.7272,,undeciphered,false,false
L/3209,L,,,,U60B52,0.7105,宓,deciphered,true,false
L/321,L,,,,U619AD,0.6664,,undeciphered,false,false
L/3210,L,,,,U6197D,0.6796,水,deciphered,true,false
L/3211,L,,,,U610D2,0.7055,残疑字,deciphered,false,false
L/3212,L,,,,U61764,0.6189,十鬯,deciphered,false,false
L/3213,L,,,,U6029C,0.6673,,undeciphered,true,false
L/3214,L,,,,U6152C,0.6312,康丁,deciphered,false,false
L/3215,L,,,,U60B52,0.7179,宓,deciphered,true,false
L/3216,L,,,,U61035,0.5984,,undeciphered,false,false
L/3217,L,,,,U60D5A,0.6848,街,deciphered,true,false
L/3218,L,,,,U60BCE,0.7343,,undeciphered,false,false
L/3219,L,,,,U606C3,0.6664,窪,deciphered,unknown-if-fetch-failed,false
L/322,L,,,,U600FF,0.6828,去,deciphered,true,false
L/3220,L,,,,U60B52,0.7325,宓,deciphered,true,false
L/3221,L,,,,U614F1,0.6423,雍己,deciphered,false,false
L/3222,L,,,,U60CA2,0.6864,匡,deciphered,true,false
L/3223,L,,,,U60CA2,0.6665,匡,deciphered,true,false
L/3224,L,,,,U60163,0.6581,,undeciphered,true,false
L/3225,L,,,,U61936,0.6217,昜,deciphered,true,false
L/3226,L,,,,U6069E,0.6956,,undeciphered,true,false
L/3227,L,,,,U60866,0.6925,,undeciphered,true,false
L/3228,L,,,,U61048,0.686,基,deciphered,true,false
L/3229,L,,,,U60468,0.6695,,undeciphered,true,false
L/323,L,,,,U60125,0.6647,髦,deciphered,true,false
L/3230,L,,,,U6000E,0.7496,旨,deciphered,true,false
L/3231,L,,,,U61AAA,0.6185,,undeciphered,true,false
L/3232,L,,,,U604AC,0.6495,,undeciphered,false,false
L/3233,L,,,,U61428,0.7345,,undeciphered,false,false
L/3234,L,,,,U602E0,0.7606,多子,deciphered,true,false
L/3235,L,,,,U601EC,0.646,,undeciphered,true,false
L/3236,L,,,,U602F8,0.6994,残疑字,deciphered,false,false
L/3237,L,,,,U60D59,0.6299,,undeciphered,true,false
L/3238,L,,,,U605EA,0.6436,名,deciphered,true,false
L/3239,L,,,,U614DD,0.6917,大丁,deciphered,true,false
L/324,L,,,,U60FFD,0.7433,登,deciphered,false,false
L/3240,L,,,,U6196F,0.6358,日,deciphered,false,false
L/3241,L,,,,U61955,0.6674,,undeciphered,true,false
L/3242,L,,,,U60095,0.7127,冠,deciphered,true,false
L/3243,L,,,,U6159E,0.6631,三百,deciphered,false,false
L/3244,L,,,,U611BF,0.6725,,undeciphered,true,false
L/3245,L,,,,U60CA7,0.695,石,deciphered,true,false
L/3246,L,,,,U600DB,0.733,,undeciphered,false,false
L/3247,L,,,,U604AC,0.6345,,undeciphered,false,false
L/3248,L,,,,U618B0,0.6719,兆,deciphered,false,false
L/3249,L,,,,U6139B,0.7191,宜,deciphered,true,false
L/325,L,,,,U60D79,0.7277,,undeciphered,false,false
L/3250,L,,,,U606EB,0.6186,河,deciphered,true,false
L/3251,L,,,,U61428,0.7414,,undeciphered,false,false
L/3252,L,,,,U60B7C,0.6332,,undeciphered,true,false
L/3253,L,,,,U61505,0.5827,內乙,deciphered,true,false
L/3254,L,,,,U60665,0.6547,炘,deciphered,true,false
L/3255,L,,,,U60632,0.6812,丘,deciphered,false,false
L/3256,L,,,,U603F0,0.6518,,undeciphered,false,false
L/3257,L,,,,U61371,0.643,協,deciphered,true,false
L/3258,L,,,,U60F71,0.6605,酉,deciphered,true,false
L/3259,L,,,,U60FE4,0.6708,,undeciphered,true,false
L/326,L,,,,U60787,0.7034,,undeciphered,false,false
L/3260,L,,,,U6135F,0.6947,,undeciphered,true,false
L/3261,L,,,,U609E7,0.6699,庞,deciphered,true,false
L/3262,L,,,,U6096F,0.6298,,undeciphered,true,false
L/3263,L,,,,U61981,0.6144,,undeciphered,false,false
L/3264,L,,,,U60706,0.7571,,undeciphered,true,false
L/3265,L,,,,U6135F,0.7,,undeciphered,true,false
L/3266,L,,,,U60CDC,0.5995,行,deciphered,true,false
L/3267,L,,,,U60A27,0.7031,,undeciphered,false,false
L/3268,L,,,,U61ABD,0.6448,,undeciphered,false,false
L/3269,L,,,,U61585,0.6518,五,deciphered,true,false
L/327,L,,,,U600F6,0.588,央,deciphered,true,false
L/3270,L,,,,U600DB,0.7263,,undeciphered,false,false
L/3271,L,,,,U6078C,0.6356,,undeciphered,true,false
L/3272,L,,,,U61A8F,0.6898,䵼,deciphered,true,false
L/3273,L,,,,U61585,0.6334,五,deciphered,true,false
L/3274,L,,,,U60F27,0.6873,襄,deciphered,true,false
L/3275,L,,,,U6067A,0.6655,岳,deciphered,false,false
L/3276,L,,,,U61AEF,0.6908,鹿,deciphered,true,false
L/3277,L,,,,U6167C,0.6724,遣,deciphered,true,false
L/3278,L,,,,U61762,0.6557,二鬯,deciphered,false,false
L/3279,L,,,,U601EC,0.6855,,undeciphered,true,false
L/328,L,,,,U60791,0.6638,杏,deciphered,true,false
L/3280,L,,,,U600A6,0.6039,,undeciphered,true,false
L/3281,L,,,,U602D8,0.6524,,undeciphered,true,false
L/3282,L,,,,U60D59,0.6162,,undeciphered,true,false
L/3283,L,,,,U6025A,0.6603,,undeciphered,true,false
L/3284,L,,,,U6172F,0.7152,卅牛,deciphered,false,false
L/3285,L,,,,U602B0,0.6929,,undeciphered,true,false
L/3286,L,,,,U60934,0.6623,麋,deciphered,true,false
L/3287,L,,,,U601EC,0.7005,,undeciphered,true,false
L/3288,L,,,,U618A8,0.7271,競,deciphered,false,false
L/3289,L,,,,U6184E,0.6804,残疑字,deciphered,false,false
L/329,L,,,,U610EA,0.6942,,undeciphered,true,false
L/3290,L,,,,U60FFD,0.6978,登,deciphered,false,false
L/3291,L,,,,U60533,0.6604,,undeciphered,true,false
L/3292,L,,,,U6144F,0.6007,,undeciphered,false,false
L/3293,L,,,,U60C2C,0.6224,,undeciphered,false,false
L/3294,L,,,,U60F58,0.6191,般,deciphered,unknown-if-fetch-failed,false
L/3295,L,,,,U60C14,0.6976,,undeciphered,true,false
L/3296,L,,,,U61585,0.6542,五,deciphered,true,false
L/3297,L,,,,U6078C,0.6564,,undeciphered,true,false
L/3298,L,,,,U6067A,0.6686,岳,deciphered,false,false
L/3299,L,,,,U61AEF,0.7085,鹿,deciphered,true,false
L/33,L,,,,U60D6E,0.6081,,undeciphered,true,false
L/330,L,,,,U61772,0.6852,,undeciphered,false,false
L/3300,L,,,,U6124C,0.7052,,undeciphered,false,false
L/3301,L,,,,U60FE4,0.6664,,undeciphered,true,false
L/3302,L,,,,U61B02,0.6672,,undeciphered,true,false
L/3303,L,,,,U60B69,0.6889,賓,deciphered,true,false
L/3304,L,,,,U61A63,0.6327,,undeciphered,false,false
L/3305,L,,,,U6174B,0.6499,勿牢,deciphered,false,false
L/3306,L,,,,U609C4,0.745,暮,deciphered,unknown-if-fetch-failed,false
L/3307,L,,,,U60CDC,0.6754,行,deciphered,true,false
L/3308,L,,,,U60CDC,0.658,行,deciphered,true,false
L/3309,L,,,,U60D75,0.6844,,undeciphered,true,false
L/331,L,,,,U60791,0.6702,杏,deciphered,true,false
L/3310,L,,,,U616A5,0.6375,马,deciphered,false,false
L/3311,L,,,,U6013B,0.6407,,undeciphered,true,false
L/3312,L,,,,U60CF6,0.6625,,undeciphered,true,false
L/3313,L,,,,U60753,0.7225,丧,deciphered,true,false
L/3314,L,,,,U60103,0.7146,汏,deciphered,true,false
L/3315,L,,,,U60772,0.6676,,undeciphered,true,false
L/3316,L,,,,U600FD,0.6732,,undeciphered,true,false
L/3317,L,,,,U61112,0.6949,,undeciphered,true,false
L/3318,L,,,,U60797,0.6654,,undeciphered,false,false
L/3319,L,,,,U60377,0.664,,undeciphered,false,false
L/332,L,,,,U60A25,0.678,,undeciphered,false,false
L/3320,L,,,,U602F8,0.6913,残疑字,deciphered,false,false
L/3321,L,,,,U617C7,0.6502,小子,deciphered,false,false
L/3322,L,,,,U6009E,0.7377,,undeciphered,true,false
L/3323,L,,,,U60B52,0.7091,宓,deciphered,true,false
L/3324,L,,,,U600A6,0.58,,undeciphered,true,false
L/3325,L,,,,U607AB,0.6819,春,deciphered,true,false
L/3326,L,,,,U61AEF,0.7078,鹿,deciphered,true,false
L/3327,L,,,,U60B83,0.7084,,undeciphered,true,false
L/3328,L,,,,U61529,0.6127,三祖庚,deciphered,true,false
L/3329,L,,,,U606B0,0.5724,,undeciphered,true,false
L/333,L,,,,U610EA,0.7026,,undeciphered,true,false
L/3330,L,,,,U60274,0.6845,,undeciphered,true,false
L/3331,L,,,,U605EA,0.6697,名,deciphered,true,false
L/3332,L,,,,U60ACB,0.5695,,undeciphered,true,false
L/3333,L,,,,U602D8,0.68,,undeciphered,true,false
L/3334,L,,,,U60677,0.7111,,undeciphered,true,false
L/3335,L,,,,U6096F,0.738,,undeciphered,true,false
L/3336,L,,,,U60DD9,0.6839,,undeciphered,true,false
L/3337,L,,,,U6035C,0.654,,undeciphered,false,false
L/3338,L,,,,U6095B,0.6334,,undeciphered,true,false
L/3339,L,,,,U6060C,0.5944,雪,deciphered,true,false
L/334,L,,,,U613A6,0.6821,棘,deciphered,false,false
L/3340,L,,,,U60B69,0.7243,賓,deciphered,true,false
L/3341,L,,,,U60947,0.6192,,undeciphered,true,false
L/3342,L,,,,U6097D,0.6363,,undeciphered,true,false
L/3343,L,,,,U60D44,0.7197,,undeciphered,true,false
L/3344,L,,,,U605F5,0.6527,,undeciphered,false,false
L/3345,L,,,,U6124F,0.6391,羲,deciphered,false,false
L/3346,L,,,,U60772,0.6543,,undeciphered,true,false
L/3347,L,,,,U60103,0.7117,汏,deciphered,true,false
L/3348,L,,,,U60103,0.7228,汏,deciphered,true,false
L/3349,L,,,,U618E2,0.7188,舞,deciphered,true,false
L/335,L,,,,U60FC5,0.7328,,undeciphered,true,false
L/3350,L,,,,U60BE2,0.7602,,undeciphered,false,false
L/3351,L,,,,U60CA1,0.6545,匚示,deciphered,true,false
L/3352,L,,,,U60E83,0.6398,箙,deciphered,true,false
L/3353,L,,,,U618A8,0.7246,競,deciphered,false,false
L/3354,L,,,,U61808,0.6191,黑牛,deciphered,false,false
L/3355,L,,,,U602D8,0.6447,,undeciphered,true,false
L/3356,L,,,,U609C4,0.742,暮,deciphered,unknown-if-fetch-failed,false
L/3357,L,,,,U6124F,0.6665,羲,deciphered,false,false
L/3358,L,,,,U612A5,0.6356,櫟,deciphered,true,false
L/3359,L,,,,U617D9,0.658,小如,deciphered,false,false
L/336,L,,,,U60B30,0.7143,宮,deciphered,true,false
L/3360,L,,,,U60FBE,0.6402,残疑字,deciphered,false,false
L/3361,L,,,,U61B19,0.6755,高,deciphered,false,false
L/3362,L,,,,U6142B,0.6444,残疑字,deciphered,true,false
L/3363,L,,,,U60BE2,0.6967,,undeciphered,false,false
L/3364,L,,,,U60416,0.6782,,undeciphered,true,false
L/3365,L,,,,U600FD,0.6772,,undeciphered,true,false
L/3366,L,,,,U60916,0.6656,,undeciphered,true,false
L/3367,L,,,,U6167C,0.6883,遣,deciphered,true,false
L/3368,L,,,,U60EA7,0.6042,黃尹,deciphered,true,false
L/3369,L,,,,U60416,0.6787,,undeciphered,true,false
L/337,L,,,,U61164,0.7113,,undeciphered,true,false
L/3370,L,,,,U60878,0.6026,牧,deciphered,true,false
L/3371,L,,,,U602D8,0.6715,,undeciphered,true,false
L/3372,L,,,,U60FD4,0.6886,,undeciphered,true,false
